OOGRWF


  z:      0.400D+01
  npx:    400
  h:      0.781250D-02


   state:    1s 
  energy:    0.8002D+01


      r          p( 1s )       q( 1s )     npt
  0.3315D-01    0.1641D+00   -0.2480D-02   400
  0.3536D-01    0.1734D+00   -0.2628D-02   400
  0.3759D-01    0.1826D+00   -0.2774D-02   400
  0.3984D-01    0.1917D+00   -0.2920D-02   400
  0.4210D-01    0.2007D+00   -0.3065D-02   400
  0.4438D-01    0.2096D+00   -0.3208D-02   400
  0.4668D-01    0.2183D+00   -0.3351D-02   400
  0.4900D-01    0.2269D+00   -0.3493D-02   400
  0.5134D-01    0.2354D+00   -0.3633D-02   400
  0.5369D-01    0.2437D+00   -0.3772D-02   400
  0.5606D-01    0.2520D+00   -0.3910D-02   400
  0.5846D-01    0.2600D+00   -0.4047D-02   400
  0.6087D-01    0.2680D+00   -0.4183D-02   400
  0.6329D-01    0.2758D+00   -0.4318D-02   400
  0.6574D-01    0.2834D+00   -0.4451D-02   400
  0.6821D-01    0.2910D+00   -0.4583D-02   400
  0.7069D-01    0.2983D+00   -0.4714D-02   400
  0.7320D-01    0.3056D+00   -0.4843D-02   400
  0.7573D-01    0.3126D+00   -0.4972D-02   400
  0.7827D-01    0.3196D+00   -0.5098D-02   400
  0.8083D-01    0.3264D+00   -0.5224D-02   400
  0.8342D-01    0.3330D+00   -0.5348D-02   400
  0.8602D-01    0.3395D+00   -0.5471D-02   400
  0.8865D-01    0.3458D+00   -0.5592D-02   400
  0.9129D-01    0.3519D+00   -0.5712D-02   400
  0.9396D-01    0.3579D+00   -0.5830D-02   400
  0.9665D-01    0.3638D+00   -0.5947D-02   400
  0.9936D-01    0.3694D+00   -0.6062D-02   400
  0.1021D+00    0.3749D+00   -0.6176D-02   400
  0.1048D+00    0.3803D+00   -0.6288D-02   400
  0.1076D+00    0.3854D+00   -0.6399D-02   400
  0.1104D+00    0.3904D+00   -0.6508D-02   400
  0.1132D+00    0.3953D+00   -0.6615D-02   400
  0.1161D+00    0.3999D+00   -0.6721D-02   400
  0.1189D+00    0.4044D+00   -0.6825D-02   400
  0.1218D+00    0.4087D+00   -0.6927D-02   400
  0.1247D+00    0.4128D+00   -0.7028D-02   400
  0.1276D+00    0.4168D+00   -0.7127D-02   400
  0.1306D+00    0.4205D+00   -0.7224D-02   400
  0.1336D+00    0.4241D+00   -0.7320D-02   400
  0.1365D+00    0.4275D+00   -0.7413D-02   400
  0.1396D+00    0.4307D+00   -0.7505D-02   400
  0.1426D+00    0.4337D+00   -0.7595D-02   400
  0.1457D+00    0.4366D+00   -0.7684D-02   400
  0.1488D+00    0.4392D+00   -0.7770D-02   400
  0.1519D+00    0.4416D+00   -0.7854D-02   400
  0.1550D+00    0.4439D+00   -0.7937D-02   400
  0.1582D+00    0.4460D+00   -0.8018D-02   400
  0.1614D+00    0.4478D+00   -0.8097D-02   400
  0.1646D+00    0.4495D+00   -0.8173D-02   400
  0.1678D+00    0.4510D+00   -0.8248D-02   400
  0.1711D+00    0.4523D+00   -0.8321D-02   400
  0.1744D+00    0.4534D+00   -0.8392D-02   400
  0.1777D+00    0.4543D+00   -0.8461D-02   400
  0.1810D+00    0.4550D+00   -0.8527D-02   400
  0.1844D+00    0.4554D+00   -0.8592D-02   400
  0.1878D+00    0.4557D+00   -0.8655D-02   400
  0.1912D+00    0.4558D+00   -0.8716D-02   400
  0.1947D+00    0.4557D+00   -0.8774D-02   400
  0.1981D+00    0.4553D+00   -0.8830D-02   400
  0.2016D+00    0.4548D+00   -0.8885D-02   400
  0.2052D+00    0.4541D+00   -0.8937D-02   400
  0.2087D+00    0.4531D+00   -0.8987D-02   400
  0.2123D+00    0.4520D+00   -0.9035D-02   400
  0.2159D+00    0.4506D+00   -0.9080D-02   400
